judul,lemmatized,kategori,tanggal_upload,waktu_upload,link_berita
"Gelar Konser Bintang di Surga, NOAH Tak Sabar Sapa Penggemarnya di Yogyakarta",gelar konser bintang surga noah tak sabar sapa gemar yogyakarta,HYPE,29/01/2022, 21:41 WIB,https://www.kompas.com/hype/read/2022/01/29/214117366/gelar-konser-bintang-di-surga-noah-tak-sabar-sapa-penggemarnya-di
Ketum PAN: Pemindahan Ibu Kota Negara dari Jakarta Suatu Keniscayaan,tum pan pindah kota negara jakarta niscaya,NEWS,29/01/2022, 21:40 WIB,https://nasional.kompas.com/read/2022/01/29/21401481/ketum-pan-pemindahan-ibu-kota-negara-dari-jakarta-suatu-keniscayaan
Ketua Umum PSSI Merasa Ledakan Kasus Covid-19 di Seri 4 Terkendali dengan Baik,ketua pssi ledak covid seri kendali,BOLA,29/01/2022, 21:40 WIB,https://bola.kompas.com/read/2022/01/29/21400098/ketua-umum-pssi-merasa-ledakan-kasus-covid-19-di-seri-4-terkendali-dengan-baik
"Line Up Darurat Persib Vs Persikabo: Debut Kakang Rudianto, Pencetak Gol dan Pengikut Jejak Beckham",line up darurat persib vs persikabo debut kakang rudianto cetak gol ikut jejak beckham,BOLA,29/01/2022, 21:38 WIB,https://bola.kompas.com/read/2022/01/29/21382848/line-up-darurat-persib-vs-persikabo-debut-kakang-rudianto-pencetak-gol-dan
"Ganti Seprai Tempat Tidur Seminggu Sekali, Ini Alasannya",ganti seprai tidur minggu alas,WIKEN,29/01/2022, 21:37 WIB,https://www.kompas.com/wiken/read/2022/01/29/213700581/ganti-seprai-tempat-tidur-seminggu-sekali-ini-alasannya
"Biar Awet, Ini 4 Cara Merawat Tabung Mesin Cuci",biar awet rawat tabung mesin cuci,HOMEY,29/01/2022, 21:37 WIB,https://www.kompas.com/homey/read/2022/01/29/213700476/biar-awet-ini-4-cara-merawat-tabung-mesin-cuci
"HT Persib Vs Persikabo: Kakang Debut dan Cetak Gol, Maung Bandung Unggul 1-0",ht persib vs persikabo kakang debut cetak gol maung bandung unggul,BOLA,29/01/2022, 21:36 WIB,https://bola.kompas.com/read/2022/01/29/21364048/ht-persib-vs-persikabo-kakang-debut-dan-cetak-gol-maung-bandung-unggul-1-0
"Sinopsis Film Gone Girl, Misteri Hilangnya Penulis Terkenal",sinopsis film gone girl misteri hilang tulis kenal,HYPE,29/01/2022, 21:34 WIB,https://www.kompas.com/hype/read/2022/01/29/213451366/sinopsis-film-gone-girl-misteri-hilangnya-penulis-terkenal
Pasukan Ukraina Berlatih Tembakkan Peluncur Anti-Tank di Tengah Ketegangan dengan Rusia,pasuk ukraina latih tembak luncur anti tank tegang rusia,GLOBAL,29/01/2022, 21:30 WIB,https://www.kompas.com/global/read/2022/01/29/213000570/pasukan-ukraina-berlatih-tembakkan-peluncur-anti-tank-di-tengah
"Viral, Video Petugas Lempar Barang dari Atas Pesawat, Ini Kata Lion Air",viral video tugas lempar barang pesawat lion air,TREN,29/01/2022, 21:29 WIB,https://www.kompas.com/tren/read/2022/01/29/212950165/viral-video-petugas-lempar-barang-dari-atas-pesawat-ini-kata-lion-air
"Kapolda Sumut: Dari Dokumen, 656 Orang Menghuni Kerangkeng Sejak 2010",kapolda sumut dokumen orang huni kerangkeng,REGIONAL,29/01/2022, 21:29 WIB,https://medan.kompas.com/read/2022/01/29/212908478/kapolda-sumut-dari-dokumen-656-orang-menghuni-kerangkeng-sejak-2010
"Sinopsis The Gods Be Funny in China, Lomba Lari dan Selamatkan Panda Langka",sinopsis the gods be funny in china lomba lari selamat panda langka,HYPE,29/01/2022, 21:28 WIB,https://www.kompas.com/hype/read/2022/01/29/212850666/sinopsis-the-gods-be-funny-in-china-lomba-lari-dan-selamatkan-panda-langka
"Swab PCR di Batam, Warga Pekanbaru Positif Covid-19 Varian Omicron",swab pcr batam warga pekanbaru positif covid varian omicron,REGIONAL,29/01/2022, 21:28 WIB,https://regional.kompas.com/read/2022/01/29/212818478/swab-pcr-di-batam-warga-pekanbaru-positif-covid-19-varian-omicron
"8,5 Ton Pala Maluku Diekspor ke Eropa Lewat Pelabuhan Ambon",pala malu ekspor eropa labuh ambon,REGIONAL,29/01/2022, 21:23 WIB,https://regional.kompas.com/read/2022/01/29/212334078/85-ton-pala-maluku-diekspor-ke-eropa-lewat-pelabuhan-ambon
"Sinopsis Film Hostiles, Usaha Kapten Joseph Blocker Kawal Kepala Suku Indian Cheyenne",sinopsis film hostiles usaha kapten joseph blocker kawal kepala suku indian cheyenne,HYPE,29/01/2022, 21:20 WIB,https://www.kompas.com/hype/read/2022/01/29/212034666/sinopsis-film-hostiles-usaha-kapten-joseph-blocker-kawal-kepala-suku-indian
Sitthichai dan Allazov Lolos ke Final ONE Featherweight Kickboxing World Grand Prix,sitthichai allazov lolos final one featherweight kickboxing world grand prix,BOLA,29/01/2022, 21:20 WIB,https://www.kompas.com/sports/read/2022/01/29/21200058/sitthichai-dan-allazov-lolos-ke-final-one-featherweight-kickboxing-world
"Lowongan Kerja Anak Usaha BUMN Waskita untuk Lulusan S1, Cek Syaratnya di Sini",lowong kerja anak usaha bumn waskita lulus s cek syarat,WIKEN,29/01/2022, 21:20 WIB,https://www.kompas.com/wiken/read/2022/01/29/212000981/lowongan-kerja-anak-usaha-bumn-waskita-untuk-lulusan-s1-cek-syaratnya-di
"Waspada, Bahan Kimia Dalam Produk Plastik Berpotensi Picu Obesitas",waspada bahan kimia produk plastik potensi picu obesitas,WIKEN,29/01/2022, 21:19 WIB,https://www.kompas.com/wiken/read/2022/01/29/211953281/waspada-bahan-kimia-dalam-produk-plastik-berpotensi-picu-obesitas
Bagaimana Cara Bayar PBB Online di Shopee dan Bukalapak?,bayar pbb online shopee bukalapak,MONEY,29/01/2022, 21:12 WIB,https://money.kompas.com/read/2022/01/29/211200926/bagaimana-cara-bayar-pbb-online-di-shopee-dan-bukalapak-
"AHY Minta Kader Demokrat Hindari Politik Identitas, Harganya Terlalu Mahal",ahy kader demokrat hindar politik identitas harga mahal,NEWS,29/01/2022, 21:11 WIB,https://nasional.kompas.com/read/2022/01/29/21111061/ahy-minta-kader-demokrat-hindari-politik-identitas-harganya-terlalu-mahal
"Penambang Tewas Ditembak Oknum Brimob di Pulau Buru, Warga Marah Bakar Rumah dan Mobil",tambang tewas tembak oknum brimob pulau buru warga marah bakar rumah mobil,REGIONAL,29/01/2022, 21:10 WIB,https://regional.kompas.com/read/2022/01/29/211017078/penambang-tewas-ditembak-oknum-brimob-di-pulau-buru-warga-marah-bakar-rumah
"Covid-19 Merebak di Liga 1, Bukti Klub Tak Menjaga Komitmen?",covid rebak liga bukti klub tak jaga komitmen,BOLA,29/01/2022, 21:07 WIB,https://bola.kompas.com/read/2022/01/29/21072028/covid-19-merebak-di-liga-1-bukti-klub-tak-menjaga-komitmen
Mahasiswa di Semarang Ini Buka Usaha Seafood yang Bisa Dikirim ke Luar Kota,mahasiswa sarang buka usaha seafood kirim kota,FOOD,29/01/2022, 21:03 WIB,https://www.kompas.com/food/read/2022/01/29/210300075/mahasiswa-di-semarang-ini-buka-usaha-seafood-yang-bisa-dikirim-ke-luar-kota
Rem Truk Tangki Blong di Jalan Bypass Bandar Lampung Tabrak 3 Mobil dan 1 Sepeda Motor,rem truk tangki blong jalan bypass bandar lampung tabrak mobil sepeda motor,REGIONAL,29/01/2022, 21:01 WIB,https://regional.kompas.com/read/2022/01/29/210129278/rem-truk-tangki-blong-di-jalan-bypass-bandar-lampung-tabrak-3-mobil-dan-1
"Rute ke Malang Night Paradise, Bisa Naik Transportasi Umum ",malang night paradise transportasi,TRAVEL,29/01/2022, 21:01 WIB,https://travel.kompas.com/read/2022/01/29/210100427/rute-ke-malang-night-paradise-bisa-naik-transportasi-umum-
Ketum PAN: Menjadi Islam Moderat Bukan Sikap Lemah atau Cari Aman,tum pan islam moderat sikap lemah cari aman,NEWS,29/01/2022, 21:00 WIB,https://nasional.kompas.com/read/2022/01/29/21005101/ketum-pan-menjadi-islam-moderat-bukan-sikap-lemah-atau-cari-aman
Misteri Rumah Berbentuk Sepatu Bot Raksasa di Tengah Hutan Inggris,misteri rumah bentuk sepatu bot raksasa hutan inggris,GLOBAL,29/01/2022, 21:00 WIB,https://www.kompas.com/global/read/2022/01/29/210000170/misteri-rumah-berbentuk-sepatu-bot-raksasa-di-tengah-hutan-inggris
"Masuk Prioritas Nasional, Tata Ruang Dua Danau di Sumbar Dibenahi ",masuk prioritas nasional tata ruang danau sumbar benah,PROPERTI,29/01/2022, 21:00 WIB,https://www.kompas.com/properti/read/2022/01/29/210000721/masuk-prioritas-nasional-tata-ruang-dua-danau-di-sumbar-dibenahi-
Tidur di Depan Televisi yang Menyala? Kenali Beberapa Risikonya,tidur televisi nyala kenal risiko,TREN,29/01/2022, 21:00 WIB,https://www.kompas.com/tren/read/2022/01/29/210000865/tidur-di-depan-televisi-yang-menyala-kenali-beberapa-risikonya
"Ramai Kasus Covid-19 di Liga 1, PT LIB Beri Peringatan ke Klub",ramai covid liga pt lib ingat klub,BOLA,29/01/2022, 21:00 WIB,https://bola.kompas.com/read/2022/01/29/21000088/ramai-kasus-covid-19-di-liga-1-pt-lib-beri-peringatan-ke-klub
Epididimitis,epididimitis,HEALTH,29/01/2022, 21:00 WIB,https://health.kompas.com/penyakit/read/2022/01/29/210000968/epididimitis
5 Tips Membersihkan Sarung Sofa agar Bersih Seperti Baru ,tips bersih sarung sofa bersih,HOMEY,29/01/2022, 21:00 WIB,https://www.kompas.com/homey/read/2022/01/29/210000376/5-tips-membersihkan-sarung-sofa-agar-bersih-seperti-baru-
"Speedboat Rombongan Wawali Tual Mati Mesin, 20 Penumpang Selamat",speedboat rombong wawali tual mati mesin tumpang selamat,REGIONAL,29/01/2022, 20:59 WIB,https://regional.kompas.com/read/2022/01/29/205909278/speedboat-rombongan-wawali-tual-mati-mesin-20-penumpang-selamat
AHY Nilai Wajar jika Kader Demokrat Dorong Dia Jadi Capres 2024,ahy nilai wajar kader demokrat dorong capres,NEWS,29/01/2022, 20:52 WIB,https://nasional.kompas.com/read/2022/01/29/20521941/ahy-nilai-wajar-jika-kader-demokrat-dorong-dia-jadi-capres-2024
Disperindag Aceh Utara Awasi 27 Minimarket agar Jual Minyak Goreng Sesuai HET,disperindag aceh utara awas minimarket jual minyak goreng sesuai het,REGIONAL,29/01/2022, 20:49 WIB,https://regional.kompas.com/read/2022/01/29/204949578/disperindag-aceh-utara-awasi-27-minimarket-agar-jual-minyak-goreng-sesuai
"Oknum Brimob Mengamuk di Gunung Botak Maluku, Tembak Warga hingga Tewas",oknum brimob amuk gunung botak malu tembak warga hingga tewas,REGIONAL,29/01/2022, 20:49 WIB,https://regional.kompas.com/read/2022/01/29/204910478/oknum-brimob-mengamuk-di-gunung-botak-maluku-tembak-warga-hingga-tewas
"Seekor Anak Sapi Lahir dengan Dua Kepala, Empat Mata dan Dua Mulut Jadi Sorotan di India",ekor anak sapi lahir kepala mata mulut sorot india,GLOBAL,29/01/2022, 20:45 WIB,https://www.kompas.com/global/read/2022/01/29/204500770/seekor-anak-sapi-lahir-dengan-dua-kepala-empat-mata-dan-dua-mulut-jadi
Ingin Kuliah di Luar Negeri? Simak 10 Negara dengan Biaya Hidup Murah,kuliah negeri simak negara biaya hidup murah,WIKEN,29/01/2022, 20:44 WIB,https://www.kompas.com/wiken/read/2022/01/29/204417181/ingin-kuliah-di-luar-negeri-simak-10-negara-dengan-biaya-hidup-murah
Jokowi-Ma'ruf Amin Akan Hadiri Pengukuhan Pengurus PBNU di Kaltim,jokowi ma ruf amin hadir kukuh urus pbnu kaltim,NEWS,29/01/2022, 20:41 WIB,https://nasional.kompas.com/read/2022/01/29/20414101/jokowi-maruf-amin-akan-hadiri-pengukuhan-pengurus-pbnu-di-kaltim
"Jenazah DJ Indah Cleo Teridentifikasi, Keluarga Ingin Segera Bawa ke Padang",jenazah dj indah cleo identifikasi keluarga bawa padang,REGIONAL,29/01/2022, 20:41 WIB,https://regional.kompas.com/read/2022/01/29/204137378/jenazah-dj-indah-cleo-teridentifikasi-keluarga-ingin-segera-bawa-ke-padang
Serangan Sekjen PDI-P ke Anies: Bandingkan dengan Ahok Hingga Sebut Mintanya Bawahan yang Kerja,serang sekjen pdi p anies banding ahok hingga minta bawah kerja,NEWS,29/01/2022, 20:40 WIB,https://nasional.kompas.com/read/2022/01/29/20405571/serangan-sekjen-pdi-p-ke-anies-bandingkan-dengan-ahok-hingga-sebut-mintanya
"Lee Zii Jia Masuk Skuad, Malaysia Tak Pasang Target Juara di BATC 2022",lee zii jia masuk skuad malaysia tak pasang target juara batc,BOLA,29/01/2022, 20:40 WIB,https://www.kompas.com/badminton/read/2022/01/29/20400098/lee-zii-jia-masuk-skuad-malaysia-tak-pasang-target-juara-di-batc-2022
"Resep Ikan Salmon Bakar Bumbu Bali, Olahan Ikan Minim Minyak",resep ikan salmon bakar bumbu bal olah ikan minim minyak,FOOD,29/01/2022, 20:36 WIB,https://www.kompas.com/food/read/2022/01/29/203600375/resep-ikan-salmon-bakar-bumbu-bali-olahan-ikan-minim-minyak
"Kisah Mantan Guru Honorer Bakar Sekolah, Marah Honor Rp 6 Juta Selama 24 Tahun Tak Dibayar",kisah mantan guru honorer bakar sekolah marah honor rp juta tak bayar,WIKEN,29/01/2022, 20:35 WIB,https://www.kompas.com/wiken/read/2022/01/29/203500581/kisah-mantan-guru-honorer-bakar-sekolah-marah-honor-rp-6-juta-selama-24
"Cukup Pakai Digi by Bank BJB, Semua Transaksi Bisa Dilakukan dalam Satu Aplikasi",pakai digi by bank bjb transaksi aplikasi,ADVERTORIAL,29/01/2022, 20:31 WIB,https://biz.kompas.com/read/2022/01/29/203126128/cukup-pakai-digi-by-bank-bjb-semua-transaksi-bisa-dilakukan-dalam-satu-aplikasi
Kemenkes: 55 Kasus Subvarian Omicron BA.2 Terdeteksi di Indonesia,kemenkes subvarian omicron ba deteksi indonesia,TREN,29/01/2022, 20:30 WIB,https://www.kompas.com/tren/read/2022/01/29/203017065/kemenkes-55-kasus-subvarian-omicron-ba2-terdeteksi-di-indonesia
China Umumkan Kerja Sama dengan Rusia Bangun Pangkalan di Permukaan Bulan Saingi NASA,china umum kerja rusia bangun pangkal muka saing nasa,GLOBAL,29/01/2022, 20:30 WIB,https://www.kompas.com/global/read/2022/01/29/203000970/china-umumkan-kerja-sama-dengan-rusia-bangun-pangkalan-di-permukaan-bulan
"Sinopsis Berangkat, Petualangan Menuju Tempat-tempat Istimewa",sinopsis berangkat tualang istimewa,HYPE,29/01/2022, 20:28 WIB,https://www.kompas.com/hype/read/2022/01/29/202803966/sinopsis-berangkat-petualangan-menuju-tempat-tempat-istimewa
"Buka Kantor Baru, Simak Rencana Bisnis 3 Anak Usaha VTA Group",buka kantor simak rencana bisnis anak usaha vta group,MONEY,29/01/2022, 20:27 WIB,https://money.kompas.com/read/2022/01/29/202736226/buka-kantor-baru-simak-rencana-bisnis-3-anak-usaha-vta-group
"Ridwan Kamil: Jika Ada Kesempatan Maju sebagai Capres 2024, Bismillah",ridwan kamil sempat maju capres bismillah,NEWS,29/01/2022, 20:27 WIB,https://nasional.kompas.com/read/2022/01/29/20272311/ridwan-kamil-jika-ada-kesempatan-maju-sebagai-capres-2024-bismillah
"Uang Tabungan Fiersa Besari Sebesar Rp 13,2 Juta di Rekening Raib",uang tabung fiersa besar besar rp juta rekening raib,HYPE,29/01/2022, 20:22 WIB,https://www.kompas.com/hype/read/2022/01/29/202240366/uang-tabungan-fiersa-besari-sebesar-rp-132-juta-di-rekening-raib
"Profil Prince Patrick Kallon, Lahir dari Keluarga Pesepak Bola",profil prince patrick kallon lahir keluarga sepak bola,BOLA,29/01/2022, 20:20 WIB,https://www.kompas.com/sports/read/2022/01/29/20200068/profil-prince-patrick-kallon-lahir-dari-keluarga-pesepak-bola
"Treasure Bay Bintan: Jam Buka, Harga Tiket, Wahana, dan Penginapan Terdekat",treasure bay bintan jam buka harga tiket wahana inap dekat,REGIONAL,29/01/2022, 20:19 WIB,https://medan.kompas.com/read/2022/01/29/201935178/treasure-bay-bintan-jam-buka-harga-tiket-wahana-dan-penginapan-terdekat
Cara Mudah Membuat Pupuk NPK Organik Cair dari Bahan Sederhana,mudah pupuk npk organik cair bahan sederhana,HOMEY,29/01/2022, 20:17 WIB,https://www.kompas.com/homey/read/2022/01/29/201700976/cara-mudah-membuat-pupuk-npk-organik-cair-dari-bahan-sederhana
Mau Bikin Hobi Kamu Jadi Bisnis yang Menguntungkan? Simak 3 Tips Ini,bikin hobi bisnis untung simak tips,MONEY,29/01/2022, 20:15 WIB,https://money.kompas.com/read/2022/01/29/201500826/mau-bikin-hobi-kamu-jadi-bisnis-yang-menguntungkan-simak-3-tips-ini
"Pesan Menteri ATR untuk Penerima Ganti Rugi Tol: Petani yang Kena, Beli Sawah Baru",pesan menteri atr terima ganti rugi tol tani kena beli sawah,REGIONAL,29/01/2022, 20:13 WIB,https://yogyakarta.kompas.com/read/2022/01/29/201355478/pesan-menteri-atr-untuk-penerima-ganti-rugi-tol-petani-yang-kena-beli
"Barongsai: Sejarah, Makna, dan Tarian  ",barongsai sejarah makna tari,REGIONAL,29/01/2022, 20:12 WIB,https://regional.kompas.com/read/2022/01/29/201213178/barongsai-sejarah-makna-dan-tarian
"Update 29 Januari: 383.401 Spesimen Diperiksa, Positivity Rate dengan PCR 20,33 Persen",update januari spesimen periksa positivity rate pcr persen,NEWS,29/01/2022, 20:11 WIB,https://nasional.kompas.com/read/2022/01/29/20114071/update-29-januari-383401-spesimen-diperiksa-positivity-rate-dengan-pcr-2033
"Hasil Persebaya Vs PSS: Menang 1-0, Bajul Ijo Gusur Bali United dan Persib",hasil persebaya vs pss menang bajul ijo gusur bal united persib,BOLA,29/01/2022, 20:11 WIB,https://bola.kompas.com/read/2022/01/29/20111638/hasil-persebaya-vs-pss-menang-1-0-bajul-ijo-gusur-bali-united-dan-persib
"Tips Bikin Usaha Kuliner untuk Mahasiswa, Harus Paham Prioritas",tips bikin usaha kuliner mahasiswa paham prioritas,FOOD,29/01/2022, 20:11 WIB,https://www.kompas.com/food/read/2022/01/29/201100675/tips-bikin-usaha-kuliner-untuk-mahasiswa-harus-paham-prioritas
Siapa KKB Papua dan Apa Tujuannya?,kkb papua tuju,REGIONAL,29/01/2022, 20:10 WIB,https://regional.kompas.com/read/2022/01/29/201038578/siapa-kkb-papua-dan-apa-tujuannya
Video: Unboxing dan Kesan Pertama Menggenggam Samsung Galaxy A03,video unboxing kesan genggam samsung galaxy a,TEKNO,29/01/2022, 20:10 WIB,https://tekno.kompas.com/read/2022/01/29/20100047/video--unboxing-dan-kesan-pertama-menggenggam-samsung-galaxy-a03
Cara Mudah Membasmi Kutu Kasur,mudah basmi kutu kasur,WIKEN,29/01/2022, 20:10 WIB,https://www.kompas.com/wiken/read/2022/01/29/201000081/cara-mudah-membasmi-kutu-kasur
"Hadirkan Promo Besar-besaran, Atome Gandeng Matahari Department Store",hadir promo besar besar atome gandeng matahari department store,ADVERTORIAL,29/01/2022, 20:08 WIB,https://biz.kompas.com/read/2022/01/29/200848328/hadirkan-promo-besar-besaran-atome-gandeng-matahari-department-store
8 Tips Mudah Atasi Overpacking Saat Berpergian ,tips mudah atas overpacking berpergian,TRAVEL,29/01/2022, 20:08 WIB,https://travel.kompas.com/read/2022/01/29/200800027/8-tips-mudah-atasi-overpacking-saat-berpergian-
Komnas HAM: Pria Berwajah Lebam yang Viral adalah Penghuni Kerangkeng,komnas ham pria wajah lebam viral huni kerangkeng,REGIONAL,29/01/2022, 20:07 WIB,https://medan.kompas.com/read/2022/01/29/200722078/komnas-ham-pria-berwajah-lebam-yang-viral-adalah-penghuni-kerangkeng
"Otak Kucing Disebut Menyusut Jauh Lebih Kecil daripada Nenek Moyangnya, Kok Bisa?",otak kucing susut nenek moyang,TREN,29/01/2022, 20:04 WIB,https://www.kompas.com/tren/read/2022/01/29/200400065/otak-kucing-disebut-menyusut-jauh-lebih-kecil-daripada-nenek-moyangnya-kok
 6 Bahan Alami yang Bisa Diolah Menjadi Pupuk Tanaman,bahan alami olah pupuk tanam,WIKEN,29/01/2022, 20:03 WIB,https://www.kompas.com/wiken/read/2022/01/29/200305581/6-bahan-alami-yang-bisa-diolah-menjadi-pupuk-tanaman
"Suku Bunga KPR Bank OCBC NISP Tak Berubah, Tetap 8,25 Persen",suku bunga kpr bank ocbc nisp tak ubah persen,PROPERTI,29/01/2022, 20:00 WIB,https://www.kompas.com/properti/read/2022/01/29/200000821/suku-bunga-kpr-bank-ocbc-nisp-tak-berubah-tetap-8-25-persen
"Waspada, Ini Gejala OCD pada Anak",waspada gejala ocd anak,SAINS,29/01/2022, 20:00 WIB,https://www.kompas.com/sains/read/2022/01/29/200000723/waspada-ini-gejala-ocd-pada-anak
Inggris Sebut Subtipe Omicron BA.2 Lebih Menular ketimbang BA.1,inggris subtipe omicron ba tular ba,GLOBAL,29/01/2022, 20:00 WIB,https://www.kompas.com/global/read/2022/01/29/200000870/inggris-sebut-subtipe-omicron-ba.2-lebih-menular-ketimbang-ba.1
Mengenal Gejala dan Penyebab Kanker Tenggorokan,kenal gejala sebab kanker tenggorok,HEALTH,29/01/2022, 20:00 WIB,https://health.kompas.com/read/2022/01/29/200000268/mengenal-gejala-dan-penyebab-kanker-tenggorokan
"Tiru Latihan Ronaldo, Menpora Sebut Atlet Indonesia Bisa Mendunia",tiru latih ronaldo menpora atlet indonesia dunia,BOLA,29/01/2022, 20:00 WIB,https://bola.kompas.com/read/2022/01/29/20000068/tiru-latihan-ronaldo-menpora-sebut-atlet-indonesia-bisa-mendunia
"Kabar Duka, Kekasih Rohimah Meninggal Dunia",kabar duka kasih rohimah tinggal dunia,HYPE,29/01/2022, 19:58 WIB,https://www.kompas.com/hype/read/2022/01/29/195811366/kabar-duka-kekasih-rohimah-meninggal-dunia
Resep Pesmol Salmon Seperti Bikinan Peserta MasterChef Indonesia,resep pesmol salmon bikin serta masterchef indonesia,FOOD,29/01/2022, 19:55 WIB,https://www.kompas.com/food/read/2022/01/29/195536875/resep-pesmol-salmon-seperti-bikinan-peserta-masterchef-indonesia
Pemimpin.id Ajak Orang Muda Berbagi Peran untuk Membawa Perubahan,pimpin id ajak orang muda peran bawa ubah,EDUKASI,29/01/2022, 19:52 WIB,https://www.kompas.com/edu/read/2022/01/29/195243171/pemimpinid-ajak-orang-muda-berbagi-peran-untuk-membawa-perubahan
Lana Condor Resmi Bertunangan dengan Anthony De La Torre,lana condor resmi tunang anthony de la torre,HYPE,29/01/2022, 19:51 WIB,https://www.kompas.com/hype/read/2022/01/29/195118866/lana-condor-resmi-bertunangan-dengan-anthony-de-la-torre
"Direlokasi ke Teras Malioboro Satu, PKL Masih Simpan Kekhawatiran ",relokasi teras malioboro pkl simpan khawatir,REGIONAL,29/01/2022, 19:50 WIB,https://yogyakarta.kompas.com/read/2022/01/29/195047078/direlokasi-ke-teras-malioboro-satu-pkl-masih-simpan-kekhawatiran
"Tak Hanya Indonesia, Ini 7 Negara yang Pernah Memindahkan Ibu Kotanya",tak indonesia negara pindah kota,TREN,29/01/2022, 19:49 WIB,https://www.kompas.com/tren/read/2022/01/29/194926465/tak-hanya-indonesia-ini-7-negara-yang-pernah-memindahkan-ibu-kotanya
Ridwan Kamil Puji Anies Baswedan soal Stadion JIS,ridwan kamil puji anies baswedan stadion jis,NEWS,29/01/2022, 19:48 WIB,https://nasional.kompas.com/read/2022/01/29/19484861/ridwan-kamil-puji-anies-baswedan-soal-stadion-jis
"Rayakan Usia 73 Tahun, Jaya Suprana Gelar Konser Cinta Indonesia",raya usia jaya suprana gelar konser cinta indonesia,HYPE,29/01/2022, 19:46 WIB,https://www.kompas.com/hype/read/2022/01/29/194649566/rayakan-usia-73-tahun-jaya-suprana-gelar-konser-cinta-indonesia
"Jenis, Syarat, dan Cara Membuat Kartu Kredit BRI",jenis syarat kartu kredit bri,MONEY,29/01/2022, 19:41 WIB,https://money.kompas.com/read/2022/01/29/194100326/jenis-syarat-dan-cara-membuat-kartu-kredit-bri
"Termasuk Persib, 5 Tim Liga 1 Laporkan Kasus Positif Covid-19",persib tim liga lapor positif covid,BOLA,29/01/2022, 19:40 WIB,https://bola.kompas.com/read/2022/01/29/19400028/termasuk-persib-5-tim-liga-1-laporkan-kasus-positif-covid-19
"Tiga Video Musik NOAH yang Di-remake Masuk Jajaran Trending, Ariel: Satu Tim Senang",video musik noah remake masuk jajar trending ariel tim senang,HYPE,29/01/2022, 19:40 WIB,https://www.kompas.com/hype/read/2022/01/29/194000766/tiga-video-musik-noah-yang-di-remake-masuk-jajaran-trending-ariel--satu-tim
